Dial,PWM,Run 1,Run 2,Run 3,Run 4,Run 5
0.0,210,29.276,30.750,31.311,31.880,32.340
0.5,213,32.569,32.906,33.880,34.097,33.997
1.0,218,34.444,37.031,36.854,37.268,37.479
1.5,222,41.044,41.140,41.052,41.264,41.697
2.0,227,42.368,43.372,43.759,43.458,43.476
2.5,231,48.790,48.511,48.486,48.824,48.823
3.0,235,49.093,50.091,50.013,49.673,51.343
3.5,240,56.028,55.395,55.812,55.972,55.943
4.0,244,56.519,57.570,57.165,56.925,57.457
4.5,249,63.440,63.283,63.025,63.467,62.915
5.0,255,65.555,66.437,66.642,65.954,66.056
